nombre_audio,cluster
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,8
Dumas yendo al fondeadero (2).wav,20
Dumas yendo al fondeadero (2).1.wav,20
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,8
Diego Dumas l 1-2.4.wav,7
Alvarez Forn 3-4.3.wav,14
Alvarez Forn 3-4.3.wav,14
Alvarez Forn 3-4.4.wav,14
Alvarez Forn 3-4.5.wav,14
Alvarez Forn 1-2.1.wav,2
Alvarez Forn 1-2.9.wav,2
Voz off 1.wav,32
Voz off 1.1.wav,-1
Voz off 1.2.wav,32
Voz off 1.3.wav,32
Voz off 1.4.wav,32
Voz off 1.5.wav,32
Voz off 1.6.wav,32
Voz off 1.7.wav,32
Voz off 1.8.wav,32
Voz off 1.9.wav,32
Voz off 1.10.wav,32
Voz off 1.11.wav,32
C_AGN_371_L1_02.2.wav,1
Diego Dumas l 1-2.19.wav,7
ENS ACTO 1 EXTRAS V1_04.L.wav,-1
Cufr̩ 9-Cubierta LEHG I-Tr3.wav,17
Diego Dumas l 1-2.3.wav,7
Cufr__ 9-Cubierta LEHG I-Tr3.2.wav,8
Cufr__ 9-Cubierta LEHG I-Tr3.3.wav,8
Cufr__ 9-Cubierta LEHG I-Tr3.wav,8
Cufr__ 9-Cubierta LEHG I-Tr3.1.wav,8
EL NAVEGANTE SOLITARIO-VFinal Bafici.R.wav,31
Alvarez Forn 1-2.2.wav,2
Diego Dumas l 1-2.8.wav,7
Alvarez Forn 1-2.2.wav,2
EL NAVEGANTE SOLITARIO-VFinal Bafici.L.wav,31
Alvarez Forn 1-2.3.wav,2
ENS ACTO 1 EXTRAS V1_04.R.wav,-1
Diego Dumas l 1-2.8.wav,7
Alvarez Forn 1-2.4.wav,2
Voz off 1.12.wav,32
Voz off 1.13.wav,32
Voz off 1.14.wav,32
Voz off 1.15.wav,32
Voz off 1.16.wav,32
Voz off 1.17.wav,32
Voz off 1.18.wav,32
Voz off 1.19.wav,32
Voz off 1.20.wav,32
Voz off 1.21.wav,32
Voz off 1.22.wav,32
Voz off 1.23.wav,32
C_AGN_371_L1_02.6.wav,1
Alvarez Forn 1-2.6.wav,2
CRIOLLA FUGA 1_11.wav,11
Alvarez Forn 1-2.6.wav,2
Alvarez Forn 1-2.7.wav,2
Alvarez Forn 1-2.8.wav,2
Alonso 1-2.wav,28
VERTIGO.wav,1
VERTIGO.2.wav,1
OFF VITO_14.wav,0
CHACARERA.aif,1
OFF VITO_02.wav,0
OFF VITO_01.wav,0
OFF VITO_01.wav,0
Alvarez Forn 1-2.2.wav,2
OFF VITO_01.wav,0
OFF VITO_07.wav,0
OFF VITO_07.wav,0
